,toxic,not_toxic
20776,she had just helped treat the arm of some stupid kid who broke it off when she raised her head and saw her reflection in the window.,She was helping to splint the arm of some dull child who'd broken it when she glanced up and saw her reflection in the glass of the cottage window.
20777,"I suck heads off fish. "" That was you?","""I eat fish heads."" That was you?"
20778,I swear I will turn a hose on you.,I swear to you I'll call you a hose...
20779,Damn Leave the tomatoes!,leave the tomatoes alone!
20780,Wicked.,bad.
20781,'cause I know we suck.,I know we were terrible!
20782,Here comes the bullet.,the bullet's fired.
20783,someone had to take a welterweight torch on him before he stabbed a knife in his head.,Somebody must have taken a welding torch to this guy before they jammed that knife in his skull.
20784,Cos that's everything he fucking had.,because that's all he had.
20785,I wonder why men like fake tits.,I wonder what they like about the fake goats.
20786,some killer!,The killer detail!
20787,what would a husband say about sticking up your butt like a porn star?,"Right, and how would your husband feel about you having taken it in the seat like a porn star?"
20788,the Trolls have a very thick skin and thick skin.,Trolls have very tough hide and thick fur.
20789,"What the hell are you doing, lady?","what are you doing, ma'am?"
20790,my career is going to shit.,My career is falling apart.
20791,"Is that derived from the Latin fellare, meaning ""to suck""?","is derived from a Latin feline, meaning ""blow job""?"
20792,"that homosexuality is fine, you shouldn't teach them.",You shouldn't teach them that homoseuxality is ok.
20793,Who the fuck is Tom Krepnecke?,and who's Tom Shrimp?
20794,"Fuck you. Seriously, it's somewhere on the coffee table.","really, he'll be on the coffee table."
20795,"Damn it, there's no way we're going to stop them!","hell, we don't have a chance to stop them!"
20796,you know they could have killed you,You know you could have gotten killed.
20797,"I can't make shit up, can I?","I can't make up my mind, can I?"
20798,"You're going to let some guy carwash the inside of your mouth... with his tongue, and then you're going to post it on the Internet?","you let him wash your tongue out of your tongue, and then you put it on the Internet?"
20799,"About as much as she liked fucking me, I suppose.","I guess as much as she's done with me, I guess."
20800,it could have fallen out of the garbage.,Could' fallen out of the trash.
20801,"Milly, you look like you're asking for it.","Milly, you look like you thought about it."
20802,I just need to pack up my shit and you'il never see me again.,I'll just pack my stuff and you'll never see me again.
20803,That punk put a hole in my Versace!,the punk destroyed Versace!
20804,A lethal enforcer of the Russian mafia...,"""fierce member of the Russian mafia..."""
20805,"well, I'm sure you're not bloody California.","Well, you sure as hell ain't California."
20806,Find me that damn location.,find me the location.
20807,look who's our fucking hero.,Look who we have! The frickin' hero.
20808,We're never having sex at sunrise.,we never make love at sunrise.
20809,Because he had a ridiculous sensitivity to human misery.,because he felt so awkward with human unhappiness.
20810,You wanna cut the shit? You were talking to that jazzbo so long... ...I thought about having my head shaved.,"you were with that guy for so long, I was afraid you wouldn't shave my head."
20811,"when I was sleeping, my mom was hitting me with everything that came under her hand. When she was cleaning up, she became a broom. When she sucked, it became a vacuum.","If I sleep out, mom beats me with whatever's in her hand. if she's sweeping, it's a broom stick if she's cleaning, it's a vacuum."
20812,Make a damn joke.,say a hell of a joke.
20813,Shit like this don't happen in Hamsterdam.,such things don't happen in Hamsterdam.
20814,the stiff look in his eyes said her throat was slit.,The glazed look in her eyes said her throat had been cut.
20815,So you wanna go make fun of those ugly statues over there?,and you don't want to go and laugh at those ugly statues over there?
20816,"I killed him, in part, because he misused you.","part of me killed him, that's why he took advantage of you."
20817,Now you just shut up like a good gentleman!,"now you keep your mouth shut, like a good gentleman!"
20818,"Busted my ass, but ended up comptroller of a billion dollar pipeline in the rectum of the Third World.","I worked as a mule, but ended up as a controller of a billion-dollar pipeline in the world of Third World."
20819,now you shoot the gun on your imaginary friend in the vicinity of 1500 litres of nitroglycerine!,You are now firing a gun at your imaginary friend... Near 400 gallons of Nitroglycerin!
20820,"So, um... you just wanna go to the boardwalk and sell some shit?","so, um... do you want to go out on the promenade and sell some pot?"
20821,"But look at it this way, in a few short months, you'il be with me, in New York City, the greatest fucking city in the world!","but look at it this way, in a few short months, you'll be with me in New York, in the most amazing city in the world!"
20822,my sister's husband is such a freak.,My sister's husband's like that.
20823,"James Early isn't some idiot looking forward to the first date. / He's a respected artist, / with a recording contract.",James Early ain't no street-corner punk looking for his first date. He's an established artist with a recording contract.
20824,just don't kill me!,Just don't shoot me.
20825,"you know, the bullet you took out of him...",You know that bullet you fished out of him?
20826,Shit. Who knows what he'll do?,who knows what he'll do?
20827,take me to him...... and I'll think of you as bait.,"Take me to him, and I'll consider you a loose end."
20828,I have kids still at school and I'm counting on penile.,"I've got the kids still in college, you know."
20829,"It means... ..."" Noodles, though you've been hiding in the asshole of the world, we found you.","it means...... ""Dear Noodles,"" you've been hiding, but we've still trapped you, we know where you are."
20830,"I mean, it was pure dumb luck that he left them in an dead-end alley and they were shot-to-shit just two minutes later.",it was just bad luck leaving them in a blind street and that someone had shot at them in two minutes.
20831,"this gun is supposed to be worn by a guy, which is why you don't do shit.","It means that that gun was meant to be used by a man, which is why you can't do anything with it!"
20832,"And the kids who would jump me, tear out my hair, force me to take their dick in my mouth, they weren't innocent.","and the kids who were still attached to me, they tore my hair, forced me into their birds, they weren't innocent."
20833,"Who... ...if you had to choose,would you sooner kill?",if... you should choose who you would have killed?
20834,so we're screwed?,So we're nowhere?
20835,I think someone hit her first.,Think somebody hit her first.
20836,"no offense, don't think I have something against ugly people.","No offence, don't think I have anything against ugly people."
20837,The demons are not stupid.,the Demons are not fools.
20838,Are you ready to have your mind blown?,are you ready to remain silent?
20839,Even your wife knew you were meaningless.,even your wife knew you were nothing.
20840,"fuck, I've done it.",I fucking made it.
20841,"They usually justified it by telling themselves that the bastard would owe them one next time, which would serve their country’s interest.","they usually justified it by saying that the next thing they would do, they would bring it back, and they would serve their country."
20842,I'm so bad. I'm a bad person. I'm a terrible person.,I'm bad. I was bad. I'm a bad boy.
20843,The economics-- - Fuck the economics!,economically... - Seru on the economy!
